group,question,answer
Umroh Mandiri,Apa itu umroh mandiri?,"Umroh mandiri adalah menjalankan ibadah umroh dengan mengurus sendiri seluruh komponen perjalanan — visa, tiket pesawat, hotel, dan transportasi di Arab Saudi — tanpa membeli paket dari travel. Jamaah menentukan sendiri tanggal, durasi, pilihan hotel, dan rute ziarah."
Umroh Mandiri,Apakah umroh mandiri legal di Indonesia?,"Ya. Pemerintah melegalkan jalur umroh mandiri melalui Undang-Undang Nomor 14 Tahun 2025 tentang Perubahan Ketiga atas UU Nomor 8 Tahun 2019 mengenai Penyelenggaraan Ibadah Haji dan Umrah. Pasal 87A mengatur syarat yang harus dipenuhi jamaah yang berangkat mandiri."
Umroh Mandiri,Apa saja syarat berangkat umroh mandiri?,"Beragama Islam; paspor berlaku minimal enam bulan dari tanggal keberangkatan; tiket pesawat pulang pergi dengan tanggal yang jelas; surat keterangan sehat dari dokter; serta visa disertai bukti pembelian paket layanan dari penyedia berizin."
Umroh Mandiri,Apakah umroh mandiri lebih murah daripada paket travel?,"Bisa lebih murah, tetapi tidak otomatis. Penghematan datang dari memilih musim sepi, hotel yang lebih jauh dari Masjidil Haram, dan penerbangan transit. Sebaliknya, kesalahan memilih tanggal atau keterlambatan mengurus visa justru bisa membuat biaya melebihi paket travel."
Biaya,Berapa biaya umroh mandiri secara keseluruhan?,"Sangat bergantung pada musim, kelas hotel, durasi, dan jumlah jamaah per kamar. Komponen terbesar biasanya tiket pesawat dan hotel. Cara paling realistis memperkirakannya adalah menghitung per komponen memakai harga aktual, bukan memakai satu angka rata-rata."
Biaya,Mengapa harga hotel umroh berbeda jauh antar bulan?,"Harga hotel di Makkah dan Madinah mengikuti musim ibadah. Ramadan — terutama sepuluh malam terakhir — adalah puncak tertinggi, sering beberapa kali lipat harga dasar. Musim dingin dan libur sekolah juga menaikkan harga, sedangkan bulan-bulan sepi jauh lebih terjangkau."
Biaya,Komponen biaya apa yang paling sering terlupakan?,"Transportasi antar kota Makkah–Madinah, antar jemput bandara, muthowwif atau pembimbing, asuransi, bagasi tambahan, serta biaya makan di luar yang ditanggung hotel. Empat komponen pertama yang paling sering luput dari perhitungan awal."
Visa,Bisakah mengurus visa umroh sendiri tanpa perantara?,"Visa umroh tidak dapat diajukan langsung secara perorangan ke Kedutaan Arab Saudi. Pengajuan harus melalui penyedia berizin atau agensi penerbit visa. Yang dimaksud mandiri adalah jamaah mengurus visanya terpisah dari paket travel, bukan mengajukan sendiri tanpa penyedia sama sekali."
Visa,Berapa lama proses penerbitan visa umroh?,"Bervariasi mengikuti jalur pengurusan dan kepadatan musim. Ajukan jauh sebelum tanggal keberangkatan, terutama menjelang Ramadan ketika antrean paling panjang. Jangan membeli tiket pesawat yang tidak bisa diubah sebelum visa terkonfirmasi."
Visa,Apa itu Nusuk Masar dan mengapa penting?,"Nusuk Masar adalah platform resmi Arab Saudi untuk layanan ibadah, termasuk approval hotel yang menjadi salah satu jalur penerbitan visa umroh. Hotel yang terdaftar di Nusuk dapat menjadi dasar approval, sehingga pilihan hotel dan proses visa saling berkaitan."
Hotel,Bagaimana memilih hotel umroh yang tepat?,"Perhatikan jarak tempuh berjalan kaki ke Masjidil Haram atau Masjid Nabawi, bukan jarak garis lurus di peta. Pertimbangkan juga kondisi fisik rombongan, ketersediaan lift, apakah harga sudah termasuk makan, dan apakah hotel terdaftar di Nusuk bila diperlukan untuk approval visa."
Hotel,Berapa jarak hotel yang masih nyaman ditempuh jalan kaki?,"Sebagai patokan kasar, di bawah 300 meter sangat nyaman, 300 sampai 700 meter masih wajar bagi jamaah yang sehat, dan di atas satu kilometer sebaiknya memperhitungkan kelelahan bila hendak salat lima waktu di masjid. Jamaah lansia perlu patokan yang jauh lebih dekat."
Hotel,Apakah bisa memesan hotel Makkah dan Madinah lewat aplikasi biasa?,"Bisa. Banyak hotel di Makkah dan Madinah tersedia di platform pemesanan online umum. Yang perlu diperhatikan adalah kesesuaian dengan syarat visa bila jalur visa Anda memerlukan approval hotel tertentu."
Transportasi,Bagaimana perjalanan antara Makkah dan Madinah?,"Pilihan utamanya kereta cepat Haramain, bus antar kota, atau sewa kendaraan pribadi. Kereta cepat paling singkat waktunya, sedangkan sewa kendaraan lebih fleksibel untuk rombongan dengan banyak barang atau jadwal ziarah tambahan."
Transportasi,Apakah perlu menyewa kendaraan selama di Makkah?,"Umumnya tidak, bila hotel berada dalam jarak jalan kaki ke Masjidil Haram. Sewa kendaraan lebih relevan untuk antar jemput bandara, perjalanan antar kota, dan ziarah ke lokasi di luar pusat kota."
Persiapan,Kapan waktu terbaik berangkat umroh mandiri?,"Bagi yang mengutamakan biaya, hindari Ramadan dan musim libur sekolah. Perhatikan juga bahwa layanan umroh ditutup selama musim haji. Cuaca paling nyaman umumnya pada bulan-bulan yang lebih sejuk, sedangkan musim panas menuntut persiapan fisik lebih besar."
Persiapan,Apakah umroh mandiri cocok untuk jamaah pertama kali?,"Bisa, terutama bila berangkat bersama orang yang sudah berpengalaman atau bergabung dengan komunitas yang saling membantu. Yang perlu disiapkan bukan hanya biaya, melainkan pemahaman manasik, kesiapan navigasi di negara asing, dan rencana cadangan bila terjadi kendala."
Persiapan,Apa yang harus disiapkan sebelum berangkat?,"Paspor yang masih berlaku minimal enam bulan, visa, tiket pulang pergi, bukti pemesanan hotel, surat keterangan sehat, vaksinasi sesuai ketentuan yang berlaku, pemahaman tata cara manasik, serta kontak darurat yang bisa dihubungi dari tanah suci."
