group,question,answer
"Umum","Apa yang dibantu oleh Umroh Planner?","Umroh Planner membantu membuat estimasi biaya awal berdasarkan hotel, jumlah malam, jumlah jamaah, maskapai, dan layanan tambahan."
"Estimasi Biaya","Apakah estimasi biaya dijamin sama dengan harga final?","Tidak. Estimasi mengikuti data harga di sistem. Harga final tetap perlu dicek ulang mengikuti musim, ketersediaan, kurs, dan aturan vendor."
"Umum","Apakah FAQ ini berlaku untuk public visitor dan user yang sudah login?","Ya. FAQ yang sudah dipublish akan tampil untuk public visitor dan user yang sudah login. Item draft tidak tampil sampai admin mempublishnya."
"Estimasi Biaya","Kenapa estimasi bisa berbeda dengan harga OTA atau vendor?","Estimasi memakai data internal dan asumsi kurs. Harga OTA atau vendor dapat berubah karena musim, stok kamar, tanggal booking, tipe kamar, kebijakan hotel, dan kurs terbaru."
"Estimasi Biaya","Apakah biaya transport, visa, dan siskopatuh sudah termasuk?","Estimator dapat memasukkan layanan tambahan seperti visa, siskopatuh, transport, tasreh, dan tour jika layanan tersebut aktif di sistem. Admin tetap perlu mengecek detail biaya sebelum menawarkan harga final."
"Hotel","Apakah hotel yang dipilih pasti approved?","Tidak ada jaminan 100 persen approved. Approval tetap mengikuti aturan hotel masing-masing, ketersediaan kamar, dan kebijakan saat pemesanan."
"Hotel","Apa arti hotel economy, standard, pelataran, dan premium?","Kategori hotel adalah pengelompokan internal untuk membantu estimasi. Economy biasanya opsi hemat, standard opsi menengah, pelataran lebih dekat area masjid, dan premium untuk pilihan lebih tinggi."
"Hotel","Apakah nama hotel dari chat jamaah harus sama persis dengan data sistem?","Tidak selalu. Jika nama hotel tidak ditemukan, admin dapat memilih hotel lain dengan level dan kota yang sebanding sebagai pembanding estimasi."
"Penerbangan","Apakah harga penerbangan dihitung per orang?","Ya. Harga penerbangan di estimator dihitung per orang untuk tiket pulang pergi. Harga aktual tetap perlu dicek sesuai maskapai, tanggal, rute, dan ketersediaan kursi."
"Penerbangan","Apakah estimator memilih maskapai otomatis?","Estimator memakai opsi maskapai atau tier yang tersedia di sistem. Admin dapat mengubah opsi harga penerbangan di data pricing jika ada update."
"Visa dan Dokumen","Apakah visa umroh sudah termasuk dalam estimasi?","Visa dapat masuk estimasi jika service visa aktif. Nilai visa tetap perlu dicek karena biaya dan kurs dapat berubah."
"Visa dan Dokumen","Dokumen apa yang biasanya perlu disiapkan untuk umroh mandiri?","Umumnya jamaah perlu menyiapkan paspor, foto, data identitas, bukti vaksin atau dokumen kesehatan jika diminta, tiket, hotel, visa, dan dokumen pendukung sesuai aturan terbaru."
"Pembayaran","Apakah hasil estimasi bisa langsung dianggap invoice?","Tidak. Estimasi hanya gambaran awal biaya. Invoice atau penawaran final perlu dibuat setelah admin mengecek ketersediaan, harga terbaru, dan ketentuan vendor."
"Pembayaran","Kenapa total per orang bisa turun saat jumlah peserta bertambah?","Beberapa biaya bersifat rombongan dan dapat dibagi ke lebih banyak peserta, misalnya transport tertentu. Karena itu total per orang bisa berubah saat jumlah peserta berubah."
"Musim dan Jadwal","Kenapa bulan keberangkatan mempengaruhi harga?","Bulan tertentu seperti Ramadan, musim liburan, dan periode ramai bisa membuat harga hotel dan tiket naik. Data bulanan membantu estimator memberi kisaran yang lebih realistis."
"Musim dan Jadwal","Apakah Januari dan Februari bisa termasuk peak season?","Bisa. Jika berdekatan dengan liburan, Ramadan, atau periode ramai lainnya, admin perlu memperbarui harga bulanan agar estimasi tidak terlalu rendah."
"Admin","Apa yang terjadi setelah FAQ CSV diimport?","Row valid akan membuat FAQ draft baru atau memperbarui FAQ existing. Admin tetap perlu review, mengatur urutan, lalu publish item yang siap tampil."
"Admin","Apakah CSV bisa mengatur publish status dan urutan FAQ?","Tidak. CSV hanya mengatur group, question, dan answer. Publish status dan urutan harus diatur manual di admin agar perubahan publik tetap terkontrol."
